11. May 2019 | 21:28:11 | - ServerSideHealth = 1
11. May 2019 | 21:28:11 | - CheckVMPos = 0
11. May 2019 | 21:28:11 | - QuickTurn = 0
11. May 2019 | 21:28:11 | - VehicleTeleport = 1
11. May 2019 | 21:28:11 | - Wallride = 170
11. May 2019 | 21:28:11 | - DisplayTextDraw = 1
11. May 2019 | 21:28:11 | - AFK = 15
11. May 2019 | 21:28:11 | - PickupTeleport = 1
11. May 2019 | 21:28:11 | - FlyHack = 40
11. May 2019 | 21:28:11 | - JunkBusterChrome = 0
11. May 2019 | 21:28:11 | - CheckWalkAnims = 1
11. May 2019 | 21:28:11 | - ReportMoneyHack = 2
11. May 2019 | 21:28:11 | - SpeedhackAdvanced = 20
11. May 2019 | 21:28:11 | - Joypad = 0
11. May 2019 | 21:28:11 | - ArmedVehicles = 0
11. May 2019 | 21:28:11 | - VehicleRepair = 2
11. May 2019 | 21:28:11 | - TuningHack = 1
11. May 2019 | 21:28:11 | - PayForGuns = 0
11. May 2019 | 21:28:11 | - SpawnVehicles = 1
11. May 2019 | 21:28:11 | - MaxTotalWarnings = 3
11. May 2019 | 21:28:11 | - TooManyWarningsAction = 1
11. May 2019 | 21:28:11 | - AirbrakeDetection = 1
11. May 2019 | 21:28:11 | - SpeedhackDetection = 1
11. May 2019 | 21:28:11 | 0 IP-bans have been loaded.
11. May 2019 | 21:28:11 | 0 temporary bans have been loaded.
11. May 2019 | 21:28:11 | 0 whitelist entries have been loaded.
11. May 2019 | 21:28:11 | 1 blacklist entries have been loaded.
11. May 2019 | 21:28:11 | 12 bad words have been loaded.
11. May 2019 | 21:28:11 | 0 forbidden weapons have been loaded.
11. May 2019 | 21:28:11 | JunkBuster has been configurated.
11. May 2019 | 21:28:11 | JunkBuster (v11) has successfully been loaded.
11. May 2019 | 21:30:30 | Loading JunkBuster...
11. May 2019 | 21:30:30 | Current JunkBuster configuration: 
11. May 2019 | 21:30:30 | - WeaponHack = 1
11. May 2019 | 21:30:30 | - MoneyHack = 1
11. May 2019 | 21:30:30 | - Jetpack = 0
11. May 2019 | 21:30:30 | - HealthHack = 0
11. May 2019 | 21:30:30 | - ArmourHack = 1
11. May 2019 | 21:30:30 | - DriveBy = 3
11. May 2019 | 21:30:30 | - Spam = 1
11. May 2019 | 21:30:30 | - CommandSpam = 0
11. May 2019 | 21:30:30 | - BadWords = 0
11. May 2019 | 21:30:30 | - CarJackHack = 0
11. May 2019 | 21:30:30 | - TeleportHack = 1
11. May 2019 | 21:30:30 | - MaxPing = 1100
11. May 2019 | 21:30:30 | - SpectateHack = 0
11. May 2019 | 21:30:30 | - Blacklist = 1
11. May 2019 | 21:30:30 | - IpBans = 1
11. May 2019 | 21:30:30 | - TempBans = 1
11. May 2019 | 21:30:30 | - SpawnKill = 3
11. May 2019 | 21:30:30 | - CapsLock = 0
11. May 2019 | 21:30:30 | - 3DSpeed = 0
11. May 2019 | 21:30:30 | - MaxSpeed = 280
11. May 2019 | 21:30:30 | - AdminImmunity = 0
11. May 2019 | 21:30:30 | - Advertisement = 0
11. May 2019 | 21:30:30 | - FreezeUpdate = 0
11. May 2019 | 21:30:30 | - SpawnTime = 10
11. May 2019 | 21:30:30 | - CheckpointTeleport = 1
11. May 2019 | 21:30:30 | - Airbrake = 150
11. May 2019 | 21:30:30 | - TankMode = 0
11. May 2019 | 21:30:30 | - WarnPlayers = 0
11. May 2019 | 21:30:30 | - SingleplayerCheats = 0
11. May 2019 | 21:30:30 | - MinFPS = 0
11. May 2019 | 21:30:30 | - DisableBadWeapons = 1
11. May 2019 | 21:30:30 | - CBug = 0
11. May 2019 | 21:30:30 | - AntiBugKill = 0
11. May 2019 | 21:30:30 | - NoReload = 0
11. May 2019 | 21:30:30 | - NoReloadForSawnOff = 8
11. May 2019 | 21:30:30 | - ActiveGMC = 0
11. May 2019 | 21:30:30 | - GMCBan = 0
11. May 2019 | 21:30:30 | - ServerSideHealth = 1
11. May 2019 | 21:30:30 | - CheckVMPos = 0
11. May 2019 | 21:30:30 | - QuickTurn = 0
11. May 2019 | 21:30:30 | - VehicleTeleport = 1
11. May 2019 | 21:30:30 | - Wallride = 170
11. May 2019 | 21:30:30 | - DisplayTextDraw = 1
11. May 2019 | 21:30:30 | - AFK = 15
11. May 2019 | 21:30:30 | - PickupTeleport = 1
11. May 2019 | 21:30:30 | - FlyHack = 40
11. May 2019 | 21:30:30 | - JunkBusterChrome = 0
11. May 2019 | 21:30:30 | - CheckWalkAnims = 1
11. May 2019 | 21:30:30 | - ReportMoneyHack = 2
11. May 2019 | 21:30:30 | - SpeedhackAdvanced = 20
11. May 2019 | 21:30:30 | - Joypad = 0
11. May 2019 | 21:30:30 | - ArmedVehicles = 0
11. May 2019 | 21:30:30 | - VehicleRepair = 2
11. May 2019 | 21:30:30 | - TuningHack = 1
11. May 2019 | 21:30:30 | - PayForGuns = 0
11. May 2019 | 21:30:30 | - SpawnVehicles = 1
11. May 2019 | 21:30:30 | - MaxTotalWarnings = 3
11. May 2019 | 21:30:30 | - TooManyWarningsAction = 1
11. May 2019 | 21:30:30 | - AirbrakeDetection = 1
11. May 2019 | 21:30:30 | - SpeedhackDetection = 1
11. May 2019 | 21:30:30 | 0 IP-bans have been loaded.
11. May 2019 | 21:30:30 | 0 temporary bans have been loaded.
11. May 2019 | 21:30:30 | 0 whitelist entries have been loaded.
11. May 2019 | 21:30:30 | 1 blacklist entries have been loaded.
11. May 2019 | 21:30:30 | 12 bad words have been loaded.
11. May 2019 | 21:30:30 | 0 forbidden weapons have been loaded.
11. May 2019 | 21:30:30 | JunkBuster has been configurated.
11. May 2019 | 21:30:30 | JunkBuster (v11) has successfully been loaded.
11. May 2019 | 21:32:43 | Loading JunkBuster...
11. May 2019 | 21:32:43 | Current JunkBuster configuration: 
11. May 2019 | 21:32:43 | - WeaponHack = 1
11. May 2019 | 21:32:43 | - MoneyHack = 1
11. May 2019 | 21:32:43 | - Jetpack = 0
11. May 2019 | 21:32:43 | - HealthHack = 0
11. May 2019 | 21:32:43 | - ArmourHack = 1
11. May 2019 | 21:32:43 | - DriveBy = 3
11. May 2019 | 21:32:43 | - Spam = 1
11. May 2019 | 21:32:43 | - CommandSpam = 0
11. May 2019 | 21:32:43 | - BadWords = 0
11. May 2019 | 21:32:43 | - CarJackHack = 0
11. May 2019 | 21:32:43 | - TeleportHack = 1
11. May 2019 | 21:32:43 | - MaxPing = 1100
11. May 2019 | 21:32:43 | - SpectateHack = 0
11. May 2019 | 21:32:43 | - Blacklist = 1
11. May 2019 | 21:32:43 | - IpBans = 1
